Recommendation_Rank,Recommendation_Score,Dataset_ID,Publication_Title,Year,PMID / DOI,Repository,Species,Tissue,Disease_or_Condition,Technology,Cell_Number,Neural_Related_Cell_Type,Marker_Genes,Evidence_Level,Neural_Cell_Prevalence,Cell_Communication_Analysis,Spatial_Location_Info,Application_Tags,Download_Link,Accession_or_Project_Link,Notes
133,65.55,CELLxGENE:a83dd1a9-d689-486b-aa8a-5036bf9d5816,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,2024,10.1038/s41588-022-01243-4,CELLxGENE Discover,Homo sapiens,bronchus,normal,spatial transcriptomics,4992,Schwann cell | matched labels: non-myelinating Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯;外周神经再生,https://datasets.cellxgene.cziscience.com/3e5559b4-e6ba-4d3d-877e-8a5bfb9da3a6.h5ad ; collection: https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
134,65.55,CELLxGENE:987185c0-e092-49fb-935a-cc3fa0d084ca,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,2024,10.1038/s41588-022-01243-4,CELLxGENE Discover,Homo sapiens,bronchus,normal,spatial transcriptomics,4992,Schwann cell | matched labels: non-myelinating Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯;外周神经再生,https://datasets.cellxgene.cziscience.com/acfe0dfa-5179-405d-9c53-7bdc7e3a8d6d.h5ad ; collection: https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
135,65.55,CELLxGENE:853c4415-9820-4377-ae29-cfe61d72fbd1,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,2024,10.1038/s41588-022-01243-4,CELLxGENE Discover,Homo sapiens,trachea,normal,spatial transcriptomics,4992,Schwann cell | matched labels: non-myelinating Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯;外周神经再生,https://datasets.cellxgene.cziscience.com/56849905-fe69-4873-b2bb-f119b5c16df4.h5ad ; collection: https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
136,65.55,CELLxGENE:72ddcd39-bd9b-4f6a-9251-bf2a6763b16f,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,2024,10.1038/s41588-022-01243-4,CELLxGENE Discover,Homo sapiens,bronchus,normal,spatial transcriptomics,4992,Schwann cell | matched labels: non-myelinating Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯;外周神经再生,https://datasets.cellxgene.cziscience.com/391859dd-aee8-46c2-90fc-ee34ad3cf022.h5ad ; collection: https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
137,65.55,CELLxGENE:728a6902-8916-47a1-b85a-ba1c922d56b7,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,2024,10.1038/s41588-022-01243-4,CELLxGENE Discover,Homo sapiens,bronchus,normal,spatial transcriptomics,4992,Schwann cell | matched labels: myelinating Schwann cell; non-myelinating Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯;外周神经再生,https://datasets.cellxgene.cziscience.com/defc9209-93bd-4291-b4e4-c09e6228ce17.h5ad ; collection: https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
138,65.55,CELLxGENE:44c9d3fd-bbde-45a5-a17c-db37a75bf697,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,2024,10.1038/s41588-022-01243-4,CELLxGENE Discover,Homo sapiens,trachea,normal,spatial transcriptomics,4992,Schwann cell | matched labels: non-myelinating Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯;外周神经再生,https://datasets.cellxgene.cziscience.com/da3db84a-aec1-404f-83f3-c497ce4bfccc.h5ad ; collection: https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
139,65.55,CELLxGENE:2c3621b8-1870-4e06-b169-252ab243118d,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,2024,10.1038/s41588-022-01243-4,CELLxGENE Discover,Homo sapiens,bronchus,normal,spatial transcriptomics,4992,Schwann cell | matched labels: non-myelinating Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯;外周神经再生,https://datasets.cellxgene.cziscience.com/ca3e1dd1-bcc3-4121-a160-c2a86bf51972.h5ad ; collection: https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
140,65.55,CELLxGENE:20718fc1-c04b-496b-8a27-8589a637346c,A spatially resolved atlas of the human lung characterizes a gland-associated immune niche,2024,10.1038/s41588-022-01243-4,CELLxGENE Discover,Homo sapiens,bronchus,normal,spatial transcriptomics,4992,Schwann cell | matched labels: non-myelinating Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,神经-免疫通讯;外周神经再生,https://datasets.cellxgene.cziscience.com/2c092c78-132b-413e-b8d6-8c7e03b8262b.h5ad ; collection: https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,https://cellxgene.cziscience.com/collections/c1241244-b22d-483d-875b-75699efb9f3c,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
141,65.55,CELLxGENE:dce10ba0-1548-4f2f-9959-77d1090bf196,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,2024,10.1073/pnas.2313326120,CELLxGENE Discover,Homo sapiens,skin of temple,normal,spatial transcriptomics,4992,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,外周神经再生,https://datasets.cellxgene.cziscience.com/0257ae8f-f43f-4e5b-ae96-4aec4d01164a.h5ad ; collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
142,65.55,CELLxGENE:da22c90e-3db0-449a-b926-94410031b1d1,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,2024,10.1073/pnas.2313326120,CELLxGENE Discover,Homo sapiens,glabella skin,normal,spatial transcriptomics,4992,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,外周神经再生,https://datasets.cellxgene.cziscience.com/393728fe-b0ca-486a-ba28-fe5ba063baca.h5ad ; collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
143,65.55,CELLxGENE:c68e6ac8-c4d8-4869-ba08-9d157e4c06f8,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,2024,10.1073/pnas.2313326120,CELLxGENE Discover,Homo sapiens,skin of temple,normal,spatial transcriptomics,4992,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,外周神经再生,https://datasets.cellxgene.cziscience.com/320b56ef-a775-43fe-b147-3fbd68ff8385.h5ad ; collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
144,65.55,CELLxGENE:9acc2ac1-6acf-4ad3-a8c1-8bffff235e16,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,2024,10.1073/pnas.2313326120,CELLxGENE Discover,Homo sapiens,skin of scalp,normal,spatial transcriptomics,4992,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,外周神经再生,https://datasets.cellxgene.cziscience.com/c5eb8a2f-fdc4-4fe8-8c22-9f322f64b5dc.h5ad ; collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
145,65.55,CELLxGENE:8f8821bf-6033-49fd-b638-44e0a18f4bf8,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,2024,10.1073/pnas.2313326120,CELLxGENE Discover,Homo sapiens,skin of forehead,normal,spatial transcriptomics,4992,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,外周神经再生,https://datasets.cellxgene.cziscience.com/642bb015-0339-4a5c-893a-9bb58ee9fbf2.h5ad ; collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
146,65.55,CELLxGENE:838d7116-78d2-4336-985d-e8fd1f3fa9d4,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,2024,10.1073/pnas.2313326120,CELLxGENE Discover,Homo sapiens,skin of forehead,normal,spatial transcriptomics,4992,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,外周神经再生,https://datasets.cellxgene.cziscience.com/c1ea9710-78c4-4f4a-8953-07b967d5d4d0.h5ad ; collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
147,65.55,CELLxGENE:6e9e3264-02e1-455a-840b-4fbcee132ae7,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,2024,10.1073/pnas.2313326120,CELLxGENE Discover,Homo sapiens,skin of breast,normal,spatial transcriptomics,4992,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,外周神经再生,https://datasets.cellxgene.cziscience.com/306c403d-dd88-4fa5-a227-22946586c4b9.h5ad ; collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
148,65.55,CELLxGENE:663747ff-d8e4-4f5f-a5ed-a63c4332cb05,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,2024,10.1073/pnas.2313326120,CELLxGENE Discover,Homo sapiens,skin of cheek,normal,spatial transcriptomics,4992,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,外周神经再生,https://datasets.cellxgene.cziscience.com/067711d0-38b9-49d1-8ae0-1fdf050b6295.h5ad ; collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
149,65.55,CELLxGENE:4754ff7d-dd0a-4eff-b50c-ee9c7d4bd613,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,2024,10.1073/pnas.2313326120,CELLxGENE Discover,Homo sapiens,skin of cheek,normal,spatial transcriptomics,4992,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,外周神经再生,https://datasets.cellxgene.cziscience.com/82c53e66-22f7-4fcb-8834-438c3f60c999.h5ad ; collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
150,65.55,CELLxGENE:335c6629-0563-4b44-a7fb-d69ba00ddc41,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,2024,10.1073/pnas.2313326120,CELLxGENE Discover,Homo sapiens,skin of abdomen,normal,spatial transcriptomics,4992,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,外周神经再生,https://datasets.cellxgene.cziscience.com/0caa269c-e067-4352-bb05-1bb160340445.h5ad ; collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
151,65.55,CELLxGENE:32eb45ed-d970-4f34-8ad1-7a88e8ee6ce1,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,2024,10.1073/pnas.2313326120,CELLxGENE Discover,Homo sapiens,skin of back,normal,spatial transcriptomics,4992,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,外周神经再生,https://datasets.cellxgene.cziscience.com/01608b23-255a-4b71-b369-334f5ab54d23.h5ad ; collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
152,65.55,CELLxGENE:205e9eb0-1ae7-4cdf-abc1-0d7acf5d357f,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,2024,10.1073/pnas.2313326120,CELLxGENE Discover,Homo sapiens,inguinal part of abdomen,normal,spatial transcriptomics,4992,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,外周神经再生,https://datasets.cellxgene.cziscience.com/1d1d9085-ceb2-4f20-86c5-20f2ce13dcac.h5ad ; collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
153,65.55,CELLxGENE:1f4cc77e-be05-4f1c-ab52-af60e61ef310,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,2024,10.1073/pnas.2313326120,CELLxGENE Discover,Homo sapiens,inguinal part of abdomen,normal,spatial transcriptomics,4992,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,外周神经再生,https://datasets.cellxgene.cziscience.com/535fbf7c-ed43-48d7-8c93-f9c4ebabf34e.h5ad ; collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
154,65.55,CELLxGENE:1d3c1bab-7b56-4373-9def-200da734a755,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,2024,10.1073/pnas.2313326120,CELLxGENE Discover,Homo sapiens,skin of temple,normal,spatial transcriptomics,4992,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,外周神经再生,https://datasets.cellxgene.cziscience.com/63ca7edd-d55d-4a80-a0e6-4bc3bafa07a9.h5ad ; collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
155,65.55,CELLxGENE:1b11283c-1b3a-4fa6-bf87-bc12c550a019,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,2024,10.1073/pnas.2313326120,CELLxGENE Discover,Homo sapiens,nose skin,normal,spatial transcriptomics,4992,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,外周神经再生,https://datasets.cellxgene.cziscience.com/fb3143e7-1438-4e37-a246-837d2e212b5e.h5ad ; collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
156,65.55,CELLxGENE:0456ae85-6f27-4e36-8c62-4c97370baa68,Multi-scale spatial mapping of cell populations across anatomical sites in healthy human skin and basal cell carcinoma,2024,10.1073/pnas.2313326120,CELLxGENE Discover,Homo sapiens,skin of temple,normal,spatial transcriptomics,4992,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,外周神经再生,https://datasets.cellxgene.cziscience.com/fa49385a-a275-4dd3-b564-b105f3425f5f.h5ad ; collection: https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,https://cellxgene.cziscience.com/collections/34f12de7-c5e5-4813-a136-832677f98ac8,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
157,63.92,CELLxGENE:1c739a3e-c3f5-49d5-98e0-73975e751201,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction; normal,spatial transcriptomics,191795,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/4780eb7d-4c7c-4630-8705-471f0de8e27a.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
158,63.0,CELLxGENE:72a69193-d84a-42f6-98a3-d7ef0ec0c381,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction; normal,spatial transcriptomics,46086,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/4274a1a2-bbab-4f97-8ae6-45cc28e95f97-fragment.tsv.bgz; https://datasets.cellxgene.cziscience.com/4274a1a2-bbab-4f97-8ae6-45cc28e95f97-fragment.tsv.bgz.tbi; https://datasets.cellxgene.cziscience.com/febd9a43-ebb8-4776-b15a-535544c28dfe.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
159,62.84,CELLxGENE:81c2d711-7fd5-48f0-bc74-57229f3c9554,Spatially organized multicellular immune hubs in human colorectal cancer,2025,10.1016/j.cell.2021.08.003,CELLxGENE Discover,Homo sapiens,colorectum,colon adenocarcinoma; normal,spatial transcriptomics,168295,enteroendocrine cell | matched labels: enteroendocrine cell,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,神经-免疫通讯,https://datasets.cellxgene.cziscience.com/b70f801b-8e7a-4bc4-a2c9-ce293688ed37.h5ad ; collection: https://cellxgene.cziscience.com/collections/4d82bd8e-8827-410b-8fc7-685b7dd92585,https://cellxgene.cziscience.com/collections/4d82bd8e-8827-410b-8fc7-685b7dd92585,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
160,62.44,CELLxGENE:f15e263b-6544-46cb-a46e-e33ab7ce8347,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,19722,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/77b1bc1e-175f-48bf-8d95-1d97ad4429dc.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
161,61.93,CELLxGENE:7b6bab5a-f9c4-4a56-9ed4-3b9079b14867,Single cell transcriptomic analyses of the dynamic local and systemic response to cardiac injury in mice and zebrafish.,2024,10.1038/s42003-024-07315-x,CELLxGENE Discover,Mus musculus,blood; heart; kidney; liver; pancreas,myocardial infarction; normal,scRNA-seq,194315,Schwann cell | matched labels: Schwann cell,SOX10;MPZ;PLP1;MBP;PMP22,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,no,针灸作用相关;外周神经再生;伤口修复,https://datasets.cellxgene.cziscience.com/3ae58a8e-a64e-44b5-94c6-af55c88e02d3.h5ad ; collection: https://cellxgene.cziscience.com/collections/24e324a1-b42d-4438-9bb5-cf5233fa90b0,https://cellxgene.cziscience.com/collections/24e324a1-b42d-4438-9bb5-cf5233fa90b0,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
162,61.55,CELLxGENE:e887bd14-bb23-48ed-9616-aa3f9b11c446,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,2022,10.1016/j.cell.2022.11.005,CELLxGENE Discover,Homo sapiens,lung,normal,spatial transcriptomics,4992,neuroendocrine cell | matched labels: neuron; pulmonary neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/f6df703f-8117-47cc-80d9-1d9cd6d945cf.h5ad ; collection: https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
163,61.55,CELLxGENE:dc522d04-8e07-4e07-91a4-dd6da72ad25c,A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates,2022,10.1016/j.cell.2022.11.005,CELLxGENE Discover,Homo sapiens,lung,normal,spatial transcriptomics,4992,neuroendocrine cell | matched labels: neuron; pulmonary neuroendocrine cell,CHGA;CHGB;ASCL1;SYP;NCAM1,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/4c1eff62-777a-48b8-b576-8b8930f52932.h5ad ; collection: https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,https://cellxgene.cziscience.com/collections/2d2e2acd-dade-489f-a2da-6c11aa654028,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
164,61.55,CELLxGENE:fcfd30bb-8367-490f-b5e0-7dcb69ea83f4,Spatial multi-omic map of human myocardial infarction,2022,10.1038/s41586-022-05060-x,CELLxGENE Discover,Homo sapiens,heart left ventricle,myocardial infarction,spatial transcriptomics,4992,neuron | matched labels: neuronal receptor cell,RBFOX3;TUBB3;SNAP25;PRPH;PHOX2B,A = repository cell_type annotation includes neural-related cells,rare neural-related population,not determined from repository metadata,yes,针灸作用相关,https://datasets.cellxgene.cziscience.com/a96a26c5-7fd6-4578-ba2d-23f1c46973a8.h5ad ; collection: https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,https://cellxgene.cziscience.com/collections/8191c283-0816-424b-9b61-c3e1d6258a77,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
