Recommendation_Rank,Recommendation_Score,Dataset_ID,Publication_Title,Year,PMID / DOI,Repository,Species,Tissue,Disease_or_Condition,Technology,Cell_Number,Neural_Related_Cell_Type,Marker_Genes,Evidence_Level,Neural_Cell_Prevalence,Cell_Communication_Analysis,Spatial_Location_Info,Application_Tags,Download_Link,Accession_or_Project_Link,Notes
61,85.55,CELLxGENE:f92a761d-b7b8-490a-aea2-bd7a1bb9714d,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,left cardiac atrium,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/60d1ec7d-4337-4d37-87fe-3947ca78bc46.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
62,85.55,CELLxGENE:e0f37114-5e98-406e-bbeb-594603360606,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/466fdbe8-c863-4790-9c99-42f7cf1e9ddf.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
63,85.55,CELLxGENE:e0245fc6-ccf3-4329-ab10-136b7f366b49,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,interventricular septum,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/411b2207-56b7-473b-989d-5d71ecce7f33.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
64,85.55,CELLxGENE:c70e9ea9-61d0-41b1-90f6-6fd3f25e91ab,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,interventricular septum,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/291c1277-f558-4e3f-86f3-1f94120b15cd.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
65,85.55,CELLxGENE:c6c3206c-5228-4389-bc95-1d6120beb738,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,right cardiac atrium,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/0c6329a4-5bd5-4ad6-843b-142d26e1d9db.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
66,85.55,CELLxGENE:c5cddbbb-8ba4-4338-8b34-15edb5231e22,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/b1e661f8-d2ed-476d-846c-0c33a64011d4.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
67,85.55,CELLxGENE:bec030e1-7dc8-4eef-89a4-ab36e7043768,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,atrioventricular node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/405bfaee-3c75-47c6-88c4-c8790237dde9.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
68,85.55,CELLxGENE:af113aeb-ee5f-4484-8104-dc3190b6e54e,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,atrioventricular node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/f9fad4e1-1010-4fc6-98bf-0a7e2247ca6e.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
69,85.55,CELLxGENE:9dca8e98-e2f1-4e64-b7b0-22953cd8235d,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/0958a01a-bb68-4a74-b40c-49291571d99a.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
70,85.55,CELLxGENE:9a38ffc5-576c-4283-a79c-fb1c5e03cb96,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,left cardiac atrium,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/ac375474-45c8-42fc-adb3-ee134e1a4d21.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
71,85.55,CELLxGENE:985d11a7-9687-4d15-9681-90113501c2bc,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/0c9177ab-509e-46e1-95da-c7c1002029a9.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
72,85.55,CELLxGENE:83ec9e14-87a4-4d41-aa3b-f7c51af70a64,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,heart right ventricle,normal,spatial transcriptomics,5039,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/1b7164d0-9649-402b-a6cb-a1c9a917a898.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
73,85.55,CELLxGENE:82040363-8a09-4521-81b5-8f6e62c4ace7,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/258fdf55-7460-47ea-8627-bc38c35b4a16.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
74,85.55,CELLxGENE:79527108-1f6c-4152-afe0-1fcdf2e02ba3,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,interventricular septum,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/ebdc7d12-8817-4976-91da-2b8b703c3d8f.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
75,85.55,CELLxGENE:6d4b3d09-f1f1-411e-972b-087880a0dcbe,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/053cba50-55ef-4092-9a63-a976385c37a7.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
76,85.55,CELLxGENE:5e2030eb-c905-4f54-a55f-20d41774ecc7,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/f902b56e-5210-497c-83aa-3c481e32c609.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
77,85.55,CELLxGENE:55731b4b-44b1-4a39-aaee-503e3ee351f5,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,interventricular septum,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/50d2c285-c7a0-4fe4-bb78-814823f2c85a.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
78,85.55,CELLxGENE:5260e91f-5d80-4e36-820c-394720d144c3,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,heart right ventricle,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/aebde0fa-ae23-4c25-8227-070111719d7b.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
79,85.55,CELLxGENE:4a9f7ec6-5de7-4e8a-acaa-d6d100a5ea58,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,heart left ventricle,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/e83f7f9d-4dbe-4454-b57f-3efbd4ea7068.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
80,85.55,CELLxGENE:452f8dfe-52f1-4990-a73a-7117422a5934,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,apex of heart,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/d0147eb9-0d7d-4cb8-9049-0f7e9ad45c1c.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
81,85.55,CELLxGENE:3add6c93-7e8c-4f7a-8056-3354ae777757,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/9de9aa3b-fbec-479d-ae0f-2cc81240cc6b.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
82,85.55,CELLxGENE:339756db-b41f-4abd-b520-125e62e1389f,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/a47c677d-aa97-45e8-a398-70ebe280d3be.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
83,85.55,CELLxGENE:2d8cb370-c23f-4ac3-bfb7-73c13838d741,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,atrioventricular node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/8c6c6210-225c-4e16-8265-766ea025487d.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
84,85.55,CELLxGENE:2179a9b4-be5e-4e28-b1cd-cd3e07e19271,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,right cardiac atrium,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/6c691525-834c-4de7-b00b-ca8af1990996.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
85,85.55,CELLxGENE:2104fbb8-8ce3-4740-8b6a-bcbb46a13c0f,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,left cardiac atrium,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/6259e676-7b44-44e1-89a5-70ee86baf4a5.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
86,85.55,CELLxGENE:1df5fa02-4a6e-4b00-a203-cb0a60e75637,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,heart right ventricle,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/a56df793-e3aa-4971-b171-37962c96f5ef.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
87,85.55,CELLxGENE:1b0f8473-f847-4e41-be8b-4dc861860650,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,heart left ventricle,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/f7f286e9-c062-4f82-bd2a-1ace5e1f2767.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
88,85.55,CELLxGENE:1863bbe2-9c01-48a3-a58e-e2b77b71d6ca,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,atrioventricular node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/98375197-56dd-4b9d-82d4-3e631cf85a38.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
89,85.55,CELLxGENE:1368fad2-916d-4ec0-a367-e750d0ab979e,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,atrioventricular node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/cc56d9bc-4dfe-4859-a866-c8f37fb40a7c.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
90,85.55,CELLxGENE:0fe4d909-b1d9-471a-bb5d-ccc0b5a8374e,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,right cardiac atrium,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/e7b24cd2-a4c2-4e6a-a7c8-e287003473e9.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
91,85.55,CELLxGENE:06379c09-d4cf-4c6f-8299-e0bc8879dbdf,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,apex of heart,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/aab496a3-19a0-4a42-8629-513da15324ed.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
92,85.55,CELLxGENE:04a0a043-1d65-489a-b203-7908780cc922,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,heart left ventricle,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/d3ab9a0e-72c3-49d6-9966-929bd1ab16c9.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
93,85.55,CELLxGENE:0491b0c6-4d09-45bf-b5ca-42088632c15c,Spatially resolved multiomics of human cardiac niches,2023,10.1038/s41586-023-06311-1,CELLxGENE Discover,Homo sapiens,sinoatrial node,normal,spatial transcriptomics,4992,peripheral/enteric glia | matched labels: glial cell,SOX10;PLP1;S100B;GFRA3;FABP7,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/1e4b5510-3407-4433-9434-7561d4ffde3f.h5ad ; collection: https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,https://cellxgene.cziscience.com/collections/3116d060-0a8e-4767-99bb-e866badea1ed,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
94,83.55,CELLxGENE:abd889c6-f60a-4fbd-924e-ee1e9dcf909b,Spatiotemporal analysis of human intestinal development at single-cell resolution,2021,10.1016/j.cell.2020.12.016,CELLxGENE Discover,Homo sapiens,colon,normal,spatial transcriptomics,4992,enteroendocrine cell | matched labels: enteroendocrine cell; inhibitory motor neuron; interneuron; motor neuron; neuroendocrine cell,CHGA;CHGB;NEUROD1;PAX6;GCG,A = repository cell_type annotation includes neural-related cells,rare neural-related population,yes/likely described by authors; verify in publication,yes,general peripheral neurobiology,https://datasets.cellxgene.cziscience.com/9f2c8edb-7b88-42b1-b2f4-32ed4792d972.h5ad ; collection: https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,https://cellxgene.cziscience.com/collections/60358420-6055-411d-ba4f-e8ac80682a2e,CELLxGENE dataset-level metadata; cell-type count per neural subtype not always provided in collection API.
